title,imdbId,tmdbId
Kazaam (1996),0116756,11511
"Adventures of Pinocchio, The (1996)",0115472,18975
Matilda (1996),0117008,10830
House Arrest (1996),0116571,18862
First Kid (1996),0116311,12559
Bogus (1996),0115725,3587
"Little Princess, The (1939)",0031580,26531
"Wizard of Oz, The (1939)",0032138,630
It's a Wonderful Life (1946),0038650,1585
Fly Away Home (1996),0116329,11076
D3: The Mighty Ducks (1996),0116000,10680
"Apple Dumpling Gang, The (1975)",0072653,18660
Escape to Witch Mountain (1975),0072951,14821
"Love Bug, The (1969)",0064603,14136
Herbie Rides Again (1974),0071607,10869
Old Yeller (1957),0050798,22660
"Parent Trap, The (1961)",0055277,19186
Pollyanna (1960),0054195,31102
Homeward Bound: The Incredible Journey (1993),0107131,6878
"Shaggy Dog, The (1959)",0053271,15944
Swiss Family Robinson (1960),0054357,18444
That Darn Cat! (1965),0059793,20723
Angels in the Outfield (1994),0109127,24795
Cinderella (1950),0042332,11224
Winnie the Pooh and the Blustery Day (1968),0063819,81310
"Three Caballeros, The (1945)",0038166,15947
"Sword in the Stone, The (1963)",0057546,9078
So Dear to My Heart (1949),0041890,29682
Mary Poppins (1964),0058331,433
Dumbo (1941),0033563,11360
Pete's Dragon (1977),0076538,11114
Bedknobs and Broomsticks (1971),0066817,12335
Alice in Wonderland (1951),0043274,12092
"Fox and the Hound, The (1981)",0082406,10948
Willy Wonka & the Chocolate Factory (1971),0067992,252
E.T. the Extra-Terrestrial (1982),0083866,601
"Christmas Carol, A (1938)",0029992,25842
Wallace & Gromit: The Wrong Trousers (1993),0108598,531
"Grand Day Out with Wallace and Gromit, A (1989)",0104361,530
Fantasia (1940),0032455,756
Field of Dreams (1989),0097351,2323
Jingle All the Way (1996),0116705,9279
101 Dalmatians (1996),0115433,11674
Zeus and Roxanne (1997),0120550,42424
That Darn Cat (1997),0120317,20735
Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),0119432,9446
Cats Don't Dance (1997),0118829,24662
Turbo: A Power Rangers Movie (1997),0120389,6499
Warriors of Virtue (1997),0120479,49478
"Second Jungle Book: Mowgli & Baloo, The (1997)",0120087,50850
Shiloh (1997),0120118,33660
Buddy (1997),0118787,15170
Hercules (1997),0119282,11970
Wild America (1997),0120512,38225
"Simple Wish, A (1997)",0120133,17834
George of the Jungle (1997),0119190,10603
Air Bud (1997),0118570,20737
Free Willy 3: The Rescue (1997),0119152,18519
RocketMan (a.k.a. Rocket Man) (1997),0120029,36797
FairyTale: A True Story (1997),0119095,29911
Anastasia (1997),0118617,9444
Flubber (1997),0119137,9574
Home Alone 3 (1997),0119303,9714
Mouse Hunt (1997),0119715,6283
3 Ninjas: High Noon On Mega Mountain (1998),0118539,32302
Star Kid (1997),0120478,54007
Paulie (1998),0125454,36568
Wide Awake (1998),0120510,32911
Meet the Deedles (1998),0120645,40688
Barney's Great Adventure (1998),0120598,17644
Slappy and the Stinkers (1998),0120213,81367
"Borrowers, The (1997)",0118755,9449
Quest for Camelot (1998),0120800,18937
Mulan (1998),0120762,10674
Madeline (1998),0123987,35680
Small Soldiers (1998),0122718,11551
"Goonies, The (1985)",0089218,9340
Freaky Friday (1977),0076054,16084
"Absent-Minded Professor, The (1961)",0054594,17984
"Apple Dumpling Gang Rides Again, The (1979)",0078790,22328
Babes in Toyland (1961),0054649,32611
Bambi (1942),0034492,3170
"Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971)",0066728,22777
"Barefoot Executive, The (1971)",0066811,20173
"Black Cauldron, The (1985)",0088814,10957
"Black Hole, The (1979)",0078869,9570
Blackbeard's Ghost (1968),0062737,16249
Blank Check (1994),0109287,13962
Candleshoe (1977),0075807,14612
"Cat from Outer Space, The (1978)",0077305,19378
Cheetah (1989),0097053,65157
"Computer Wore Tennis Shoes, The (1969)",0065566,29228
Condorman (1981),0082199,19379
D2: The Mighty Ducks (1994),0109520,11164
Darby O'Gill and the Little People (1959),0052722,18887
"Far Off Place, A (1993)",0106868,24736
Flight of the Navigator (1986),0091059,10122
"Gnome-Mobile, The (1967)",0061715,24816
"Great Mouse Detective, The (1986)",0091149,9994
Herbie Goes Bananas (1980),0080861,12129
Herbie Goes to Monte Carlo (1977),0076137,14140
Hocus Pocus (1993),0107120,10439
"Honey, I Blew Up the Kid (1992)",0104437,11158
"Honey, I Shrunk the Kids (1989)",0097523,9354
In Search of the Castaways (1962),0056095,34774
"Incredible Journey, The (1963)",0057180,37969
"Parent Trap, The (1998)",0120783,9820
"Journey of Natty Gann, The (1985)",0089385,35144
"Jungle Book, The (1967)",0061852,9325
Kidnapped (1960),0053994,43037
Lady and the Tramp (1955),0048280,10340
"Little Mermaid, The (1989)",0097757,10144
"Mighty Ducks, The (1992)",0104868,10414
"Muppet Christmas Carol, The (1992)",0104940,10437
Newsies (1992),0104990,15300
101 Dalmatians (One Hundred and One Dalmatians) (1961),0055254,12230
Peter Pan (1953),0046183,10693
"Rescuers Down Under, The (1990)",0100477,11135
"Rescuers, The (1977)",0076618,11319
Return from Witch Mountain (1978),0078158,14822
Return to Oz (1985),0089908,13155
"Shaggy D.A., The (1976)",0075200,15943
Sleeping Beauty (1959),0053285,10882
Something Wicked This Way Comes (1983),0086336,24808
Son of Flubber (1963),0057518,19762
Song of the South (1946),0038969,13850
Steamboat Willie (1928),0019422,53565
Tall Tale (1995),0111359,41841
"Lord of the Rings, The (1978)",0077869,123
All Dogs Go to Heaven (1989),0096787,11497
"Addams Family, The (1991)",0101272,2907
Doctor Dolittle (1967),0061584,16081
Charlotte's Web (1973),0070016,15171
Watership Down (1978),0078480,11837
"Secret of NIMH, The (1982)",0084649,11704
"American Tail, An (1986)",0090633,4978
"American Tail: Fievel Goes West, An (1991)",0101329,10380
Air Bud: Golden Receiver (1998),0140796,21661
"NeverEnding Story, The (1984)",0088323,34584
"NeverEnding Story II: The Next Chapter, The (1990)",0100240,34636
Antz (1998),0120587,8916
"Rugrats Movie, The (1998)",0134067,14444
"Bug's Life, A (1998)",0120623,9487
Babe: Pig in the City (1998),0120595,9447
Jack Frost (1998),0141109,9745
Santa Claus: The Movie (1985),0089961,13764
Prancer (1989),0098115,24951
Young Sherlock Holmes (1985),0090357,11904
"Karate Kid, Part III, The (1989)",0097647,10495
Mighty Joe Young (1949),0041650,39314
"Garbage Pail Kids Movie, The (1987)",0093072,14443
"King and I, The (1999)",0160429,47288
Doug's 1st Movie (1999),0187819,16508
Tarzan (1999),0120855,37135
Muppets From Space (1999),0158811,10208
Inspector Gadget (1999),0141369,332
"Iron Giant, The (1999)",0129167,10386
Problem Child (1990),0100419,11077
Little Nemo: Adventures in Slumberland (1992),0104740,22611
"Christmas Story, A (1983)",0085334,850
Dudley Do-Right (1999),0160236,17709
A Dog of Flanders (1999),0160216,104896
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",0097050,47951
Thumbelina (1994),0111419,28032
"Adventures of Elmo in Grouchland, The (1999)",0159421,16112
Gulliver's Travels (1939),0031397,42518
Home Alone 2: Lost in New York (1992),0104431,772
Who Framed Roger Rabbit? (1988),0096438,856
Robin Hood (1973),0070608,11886
Pokémon: The First Movie (1998),0190641,10228
Babes in Toyland (1934),0024852,25898
Toy Story 2 (1999),0120363,863
Stuart Little (1999),0164912,10137
Fantasia 2000 (1999),0120910,49948
My Dog Skip (1999),0156812,17908
Batman: Mask of the Phantasm (1993),0106364,14919
"Tigger Movie, The (2000)",0220099,15655
"Legend of Lobo, The (1962)",0056173,64871
"Charlie, the Lonesome Cougar (1967)",0062793,57855
Harry and the Hendersons (1987),0093148,8989
"Muppet Movie, The (1979)",0079588,11176
"Great Muppet Caper, The (1981)",0082474,14900
"Muppets Take Manhattan, The (1984)",0087755,11899
Sesame Street Presents Follow That Bird (1985),0089994,36536
We're Back! A Dinosaur's Story (1993),0108526,18890
"Bear, The (Ours, L') (1988)",0095800,2383
Teenage Mutant Ninja Turtles (1990),0100758,1498
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),0103060,1497
Teenage Mutant Ninja Turtles III (1993),0108308,1499
"Road to El Dorado, The (2000)",0138749,10501
"Flintstones in Viva Rock Vegas, The (2000)",0158622,889
Saludos Amigos (1943),0036326,14906
The Slipper and the Rose: The Story of Cinderella (1976),0075232,16176
Dinosaur (2000),0130623,10567
Running Free (1999),0173910,120077
Benji (1974),0071206,23069
Benji the Hunted (1987),0092638,21299
For the Love of Benji (1977),0076044,38802
Titan A.E. (2000),0120913,7450
Chicken Run (2000),0120630,7443
"Adventures of Rocky and Bullwinkle, The (2000)",0131704,17711
Fun and Fancy Free (1947),0039404,46929
Make Mine Music (1946),0038718,20343
Melody Time (1948),0040580,13757
Pokémon the Movie 2000 (2000),0210234,12599
Thomas and the Magic Railroad (2000),0205461,16110
Digimon: The Movie (2000),0259974,20455
"Adventures of Ichabod and Mr. Toad, The (1949)",0041094,13465
"Little Vampire, The (2000)",0192255,24100
How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),0170016,8871
Rugrats in Paris: The Movie (2000),0213203,16340
102 Dalmatians (2000),0211181,10481
Transformers: The Movie (1986),0092106,1857
"Emperor's New Groove, The (2000)",0120917,11688
Annie (1982),0083564,15739
Kids World (2000),0176883,125498
"Monkey's Tale, A (Château des singes, Le) (1999)",0188506,37949
Big Shots (1987),0092655,57240
"Brave Little Toaster, The (1987)",0092695,19933
Recess: School's Out (2001),0265632,19405
Hans Christian Andersen (1952),0044685,16618
Spy Kids (2001),0227538,10054
Pokémon 3: The Movie (2001),0266860,10991
"5,000 Fingers of Dr. T, The (1953)",0045464,33743
Shrek (2001),0126029,808
Atlantis: The Lost Empire (2001),0230011,10865
Cats & Dogs (2001),0239395,10992
Big Top Pee-Wee (1988),0094744,30502
Ernest Saves Christmas (1988),0095107,26386
"Land Before Time, The (1988)",0095489,12144
"Wizard, The (1989)",0098663,183
"Princess Diaries, The (2001)",0247638,9880
3 Ninjas (1992),0103596,16314
3 Ninjas Kick Back (1994),0109015,18885
3 Ninjas Knuckle Up (1995),0112255,40508
Max Keeble's Big Move (2001),0273799,34549
"Monsters, Inc. (2001)",0198781,585
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),0241527,671
Jimmy Neutron: Boy Genius (2001),0268397,12589
"Flight of Dragons, The (1982)",0083951,27273
Snow Dogs (2002),0281373,11888
"Adventures of Huck Finn, The (1993)",0106223,34723
Big Fat Liar (2002),0265298,11870
Heidi (1937),0028988,28345
"Sandlot, The (1993)",0108037,11528
Return to Never Land (2002),0280030,16690
Ferngully: The Last Rainforest (1992),0104254,13225
"Troll in Central Park, A (1994)",0108395,35614
Ice Age (2002),0268380,425
"Watcher in the Woods, The (1980)",0081738,21970
Spooky House (2000),0160905,110989
White Fang 2: Myth of the White Wolf (1994),0111701,43643
Spirit: Stallion of the Cimarron (2002),0166813,9023
Scooby-Doo (2002),0267913,9637
Lilo & Stitch (2002),0275847,11544
Hey Arnold! The Movie (2002),0314166,17710
Look Who's Talking Now (1993),0107438,11982
Like Mike (2002),0308506,21972
"Powerpuff Girls, The (2002)",0289408,59387
1776 (1972),0068156,14902
Stuart Little 2 (2002),0243585,10996
"Country Bears, The (2002)",0276033,18357
Spy Kids 2: The Island of Lost Dreams (2002),0287717,9488
"Care Bears Movie, The (1985)",0088885,11243
Care Bears Movie II: A New Generation (1986),0090799,19975
Monkey Trouble (1994),0110557,41582
"Yearling, The (1946)",0039111,19049
Jonah: A VeggieTales Movie (2002),0298388,15173
Godzilla's Revenge (Gojira-Minira-Gabara: Oru Kaijû Daishingeki) (All Monsters Attack) (1969),0064373,39462
Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie) (2002),0313487,12600
Hansel & Gretel (2002),0293832,49872
"Looney, Looney, Looney Bugs Bunny Movie, The (1981)",0082679,41394
"Santa Clause 2, The (2002)",0304669,9021
Treasure Planet (2002),0133240,9016
"Island at the Top of the World, The (1974)",0071671,42453
"Wild Thornberrys Movie, The (2002)",0282120,14317
My Neighbor Totoro (Tonari no Totoro) (1988),0096283,8392
Pinocchio (2002),0255477,10599
Gus (1976),0074599,20639
"Horse in the Gray Flannel Suit, The (1968)",0063091,42645
"Moon-Spinners, The (1964)",0058371,42795
"Last Unicorn, The (1982)",0084237,10150
"Jungle Book 2, The (2003)",0283426,14873
"Black Stallion Returns, The (1983)",0085248,24883
"Black Stallion, The (1979)",0078872,17264
Into the West (1992),0104522,33221
Born Free (1966),0060182,15347
Journey to the Center of the Earth (1959),0052948,11571
Piglet's Big Movie (2003),0323642,13691
My Friend Flicka (1943),0036182,18992
Holes (2003),0311289,8326
"Wiz, The (1978)",0078504,24961
"Lizzie McGuire Movie, The (2003)",0306841,18736
Daddy Day Care (2003),0317303,10708
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),0092067,10515
Pokémon Heroes (2003),0347791,33875
Finding Nemo (2003),0266543,12
Snowball Express (1972),0069291,32140
Treasure Island (1950),0043067,6646
Gay Purr-ee (1962),0057093,32328
"Railway Children, The (1970)",0066279,37662
Good Burger (1997),0119215,14817
Rugrats Go Wild! (2003),0337711,20694
Sinbad: Legend of the Seven Seas (2003),0165982,14411
Born to Be Wild (1995),0113533,68927
Little Giants (1994),0110364,20726
Spy Kids 3-D: Game Over (2003),0338459,12279
Freaky Friday (2003),0322330,10330
Agent Cody Banks (2003),0313911,10923
Camp Nowhere (1994),0109369,17745
"Adventures of Huckleberry Finn, The (1960)",0053571,43041
Secondhand Lions (2003),0327137,13156
Beethoven (1992),0103786,11806
Beethoven's 2nd (1993),0106375,10438
Bugsy Malone (1976),0074256,8446
Good Boy! (2003),0326900,21765
Brother Bear (2003),0328880,10009
Elf (2003),0319343,10719
Looney Tunes: Back in Action (2003),0318155,10715
"Cat in the Hat, The (2003)",0312528,10588
"Haunted Mansion, The (2003)",0338094,10756
"Witches, The (1990)",0100944,10166
National Velvet (1944),0037120,17641
Cheaper by the Dozen (2003),0349205,11007
Peter Pan (2003),0316396,10601
"Young Black Stallion, The (2003)",0318850,42418
Teacher's Pet (2004),0350194,24034
"Boy with Green Hair, The (1948)",0040185,43759
Chitty Chitty Bang Bang (1968),0062803,11708
Catch That Kid (2004),0337917,20483
Agent Cody Banks 2: Destination London (2004),0358349,17047
Scooby-Doo 2: Monsters Unleashed (2004),0331632,11024
Home on the Range (2004),0299172,13700
Jack and the Beanstalk (1952),0044762,18698
Clifford's Really Big Movie (2004),0398872,19016
Explorers (1985),0089114,9872
My Side of the Mountain (1969),0064708,37437
"Bon Voyage, Charlie Brown (and Don't Come Back!) (1980)",0080461,31112
"Peanut Butter Solution, The (1985)",0089789,19425
The Wonderful Ice Cream Suit (1998),0129634,101363
"Phantom Tollbooth, The (1970)",0064806,28476
*batteries not included (1987),0092494,11548
War of the Buttons (1994),0111666,38348
"Dexter the Dragon & Bumble the Bear (a.k.a. Dragon That Wasn't (Or Was He?), The) (Als je begrijpt wat ik bedoel) (1983)",0188404,21375
Shrek 2 (2004),0298148,809
Garfield: The Movie (2004),0356634,8920
"Kid Brother, The (1927)",0018051,16661
"Chipmunk Adventure, The (1987)",0092752,21793
Please Don't Eat the Daisies (1960),0054188,19414
"Ugly Dachshund, The (1966)",0061135,20277
Around the World in 80 Days (2004),0327437,10204
Two Brothers (Deux frères) (2004),0338512,1997
Kaena: The Prophecy (Kaena: La prophétie) (2003),0297753,11572
"Littlest Rebel, The (1935)",0026641,43897
"Claymation Christmas Celebration, A (1987)",0272045,21386
Lassie Come Home (1943),0036098,2202
By the Light of the Silvery Moon (1953),0045586,19590
"New Adventures of Pippi Longstocking, The (1988)",0093744,19051
Greyfriars Bobby (a.k.a. Greyfriars Bobby: The True Story of a Dog) (1961),0054944,64868
"Three Lives of Thomasina, The (1964)",0057579,15081
"No Deposit, No Return (1976)",0074968,21147
"One and Only, Genuine, Original Family Band, The (1968)",0063389,64877
Benji: Off the Leash! (2004),0315273,44415
Flipper (1963),0057063,19893
"Last Flight of Noah's Ark, The (1980)",0081031,35101
Shark Tale (2004),0307453,10555
Black Beauty (1971),0066834,28356
Bebe's Kids (1992),0103783,36616
All I Want for Christmas (1991),0101301,13644
Spin (2003),0362174,184530
"Dust Factory, The (2004)",0329030,2319
"Incredibles, The (2004)",0317705,9806
"Polar Express, The (2004)",0338348,5255
"SpongeBob SquarePants Movie, The (2004)",0345950,11836
Christmas with the Kranks (2004),0388419,13673
D.A.R.Y.L. (1985),0088979,16248
"Secret Garden, The (1949)",0041855,43439
"Music Man, The (1962)",0056262,13671
"Wonderful World of the Brothers Grimm, The (1962)",0056700,28367
"Charlie Brown Christmas, A (1965)",0059026,13187
Asterix and the Gauls (Astérix le Gaulois) (1967),0061369,11047
Asterix and Cleopatra (Astérix et Cléopâtre) (1968),0062687,9929
"Yours, Mine and Ours (1968)",0063829,27983
"Little Prince, The (1974)",0071762,37627
"Twelve Tasks of Asterix, The (Les douze travaux d'Astérix) (1976)",0072901,9385
Pelle Svanslös (1981),0082892,47542
Cloak & Dagger (1984),0087065,48677
Asterix vs. Caesar (Astérix et la surprise de César) (1985),0088748,8868
Pelle Svanslös i Amerikatt (1985),0089793,62429
Asterix in Britain (Astérix chez les Bretons) (1986),0090667,9318
Kiki's Delivery Service (Majo no takkyûbin) (1989),0097814,16859
Shipwrecked (a.k.a. Haakon Haakonsen) (1990),0099816,71805
Sidekicks (1992),0105402,22590
Mr. Nanny (1993),0107612,19371
Kirikou and the Sorceress (Kirikou et la sorcière) (1998),0181627,21348
As If I Didn't Exist (Elina - Som om jag inte fanns) (2002),0330911,46814
Wondrous Oblivion (2003),0334725,25334
Lemony Snicket's A Series of Unfortunate Events (2004),0339291,11774
"Cat Returns, The (Neko no ongaeshi) (2002)",0347618,15370
Millions (2004),0366777,13373
Charlie and the Chocolate Factory (2005),0367594,118
I Remember Mama (1948),0040458,43442
"Many Adventures of Winnie the Pooh, The (1977)",0076363,13716
Pippi in the South Seas (Pippi Långstrump på de sju haven) (1970),0066227,12127
Pippi on the Run (På rymmen med Pippi Långstrump) (1970),0066265,11626
Racing Stripes (2005),0376105,6439
Are We There Yet? (2005),0368578,11637
Magic in the Water (1995),0113737,24962
Mac and Me (1988),0095560,20196
Pooh's Heffalump Movie (2005),0407121,13682
Son of the Mask (2005),0362165,10214
Because of Winn-Dixie (2005),0317132,17880
Robots (2005),0358082,9928
Courage Mountain (1990),0097115,43912
Once Upon a Forest (1993),0107745,33539
"Snow Queen, The (Lumikuningatar) (1986)",0091449,64022
Ice Princess (2005),0396652,13374
Down and Derby (2005),0398971,35384
DuckTales: The Movie - Treasure of the Lost Lamp (1990),0099472,10837
Madagascar (2005),0351283,953
Mad Hot Ballroom (2005),0438205,14358
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",0424774,14199
Bad News Bears (2005),0408524,13341
Sky High (2005),0405325,11459
Summer Magic (1963),0057542,37204
Asterix & Obelix vs. Caesar (Astérix et Obélix contre César) (1999),0133385,9564
Valiant (2005),0361089,14175
MirrorMask (2005),0366780,14517
Wallace & Gromit in The Curse of the Were-Rabbit (2005),0312004,533
Dreamer: Inspired by a True Story (2005),0418647,12920
"Race for Your Life, Charlie Brown (1977)",0076591,31718
Chicken Little (2005),0371606,9982
Zathura (2005),0406375,6795
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",0363771,411
Hoodwinked! (2005),0443536,10982
Casper Meets Wendy (1998),0140883,39345
Little Manhattan (2005),0412922,16553
Nanny McPhee (2005),0396752,11283
Curious George (2006),0381971,9975
Doogal (2006),0763304,24432
Ice Age 2: The Meltdown (2006),0438097,950
Five Children and It (2004),0366450,16791
Aquamarine (2006),0429591,14191
"Shaggy Dog, The (2006)",0393735,10067
"Brothers Lionheart, The (Bröderna Lejonhjärta) (1977)",0075790,11291
Hoot (2006),0453494,18276
Where the Red Fern Grows (1974),0072402,26514
Pinocchio and the Emperor of the Night (1987),0093743,39045
"Wild, The (2006)",0405469,9904
RV (2006),0449089,9530
Over the Hedge (2006),0327084,7518
Cars (2006),0317219,920
High School Musical (2006),0475293,10947
Garfield: A Tail of Two Kitties (2006),0455499,9513
Monster House (2006),0385880,9297
"Ant Bully, The (2006)",0429589,9906
Barnyard: The Original Party Animals (2006),0414853,9907
Material Girls (2006),0433412,10118
Captain January (1936),0027421,57840
How to Eat Fried Worms (2006),0462346,24115
"Red Balloon, The (Ballon rouge, Le) (1956)",0048980,15265
Lassie (2005),0431213,14597
Ronja Robbersdaughter (Ronja Rövardotter) (1984),0088015,271
"Boy Named Charlie Brown, A (1969)",0064107,15374
Snoopy Come Home (1972),0069289,15242
Everyone's Hero (2006),0430779,15213
Open Season (2006),0400717,7484
Stormbreaker (Alex Rider: Operation Stormbreaker) (2006),0457495,9978
Flicka (2006),0434215,14012
Little Secrets (2001),0296845,50573
Happy Feet (2006),0366548,9836
Unaccompanied Minors (2006),0488658,18147
Charlotte's Web (2006),0413895,9986
Happily N'Ever After (2007),0308353,5393
Arthur and the Invisibles (2007),0344854,9992
Bridge to Terabithia (2007),0398808,1265
Ratatouille (2007),0382932,2062
Like Mike 2: Streetball (2006),0469937,26655
Emil i Lönneberga (1971),0067047,11945
"Last Mimzy, The (2007)",0768212,2267
TMNT (Teenage Mutant Ninja Turtles) (2007),0453556,1273
Meet the Robinsons (2007),0396555,1267
It's a Very Merry Muppet Christmas Movie (2002),0329737,13352
"Adventures of Mark Twain, The (1986)",0088678,19947
Shrek the Third (2007),0413267,810
Surf's Up (2007),0423294,9408
"Blue Bird, The (1940)",0032264,60400
Johnny Tremain (1957),0050567,43229
Alan & Naomi (1992),0103640,266525
Underdog (2007),0467110,6589
Daddy Day Camp (2007),0462244,14144
Valhalla (1986),0094238,12646
Azur & Asmar (Azur et Asmar) (2006),0439123,19026
Fred Claus (2007),0486583,5375
Mr. Magorium's Wonder Emporium (2007),0457419,2284
Enchanted (2007),0461770,4523
"Golden Compass, The (2007)",0385752,2268
Alvin and the Chipmunks (2007),0952640,6477
"Water Horse: Legend of the Deep, The (2007)",0760329,54318
"Spiderwick Chronicles, The (2008)",0416236,8204
Horton Hears a Who! (2008),0451079,12222
"Pirates Who Don't Do Anything: A VeggieTales Movie, The (2008)",0475998,15511
Phar Lap (1983),0086102,36527
CJ7 (Cheung Gong 7 hou) (2008),0940709,13688
Speed Racer (2008),0811080,7459
Son of Rambow (2007),0845046,13258
Flight of the Red Balloon (2007),0826711,12198
"Chronicles of Narnia: Prince Caspian, The (2008)",0499448,2454
Kung Fu Panda (2008),0441773,9502
WALL·E (2008),0910970,10681
Tom Sawyer (1973),0070814,42473
St. Trinian's (2007),0964587,10748
Bambi 2 (2006),0447854,13205
Kit Kittredge: An American Girl (2008),0846308,8359
"It's the Great Pumpkin, Charlie Brown (1966)",0060550,13353
Meet Dave (2008),0765476,11260
"Little Drummer Boy, The (1968)",0063230,18846
Fly Me to the Moon (2008),0486321,13956
Son of Lassie (1945),0038097,43177
City of Ember (2008),0970411,13600
Niko & the Way to the Stars (a.k.a. The Flight Before Christmas) (Niko - Lentäjän poika) (2008),0885415,25741
Madagascar: Escape 2 Africa (2008),0479952,10527
Happily Ever After (1993),0099733,44283
Cinderella (1997),0128996,42884
Christmas Story (Joulutarina) (2007),0772176,21501
Beverly Hills Chihuahua (2008),1014775,14405
Bolt (2008),0397892,13053
Ace of Hearts (2008),1032746,17157
Bedtime Stories (2008),0960731,10202
Ponyo (Gake no ue no Ponyo) (2008),0876563,12429
Open Season 2 (2008),1107365,13690
"Tale of Despereaux, The (2008)",0420238,10199
Hotel for Dogs (2009),0785006,15189
Rock-A-Doodle (1991),0102802,20421
My Friend Henry (Ystäväni Henry) (2004),0387701,55748
Up (2009),1049413,14160
The Winslow Boy (1948),0040970,77822
Ernest Rides Again (1993),0106827,34300
Ice Age: Dawn of the Dinosaurs (2009),1080016,8355
Resan Till Melonia (1989),0098189,50201
"Corridors of Time: The Visitors II, The (Couloirs du temps: Les visiteurs 2, Les) (1998)",0120882,10353
"Muppet Musicians of Bremen, The (1972)",0274678,51302
Aliens in the Attic (2009),0775552,20856
Race to Witch Mountain (2009),1075417,13836
Army Brats (Schatjes!) (1984),0088050,40071
G-Force (2009),0436339,19585
Cloudy with a Chance of Meatballs (2009),0844471,22794
Where the Wild Things Are (2009),0386117,16523
Shorts (2009),1100119,25132
Astro Boy (2009),0375568,16577
Fantastic Mr. Fox (2009),0432283,10315
"Christmas Carol, A (2009)",1067106,17979
Partly Cloudy (2009),1425244,24480
Summer of the Monkeys (1998),0128648,109175
Planet 51 (2009),0762125,16866
"Princess and the Frog, The (2009)",0780521,10198
Alvin and the Chipmunks: The Squeakquel (2009),1231580,23398
Ernest Goes to School (1994),0109739,20551
Dragon Hunters (Chasseurs de dragons) (2008),0944834,10800
Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008),0463872,2395
"Rudolph, the Red-Nosed Reindeer (1964)",0058536,13382
Motocrossed (2001),0273842,71885
Peter Pan (1960),0054176,51120
"Spy Next Door, The (2010)",1273678,23172
Tom Thumb (1958),0052427,56931
How to Train Your Dragon (2010),0892769,10191
